,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
78,blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,33,32,0.02,0.08,45.4,33.12,31.41,45.4,257,776,2.13,7,6.67
79,blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,42,10,0.62,0.02,63.0,26.32,35.73,63.0,569,2162,1.91,2,6.15
80,blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,44,52,-0.08,0.09,34.24,34.77,27.6,34.24,354,1018,2.2,11,6.82
81,blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,34,62,-0.29,0.1,38.02,43.43,32.58,38.02,433,997,2.37,2,7.1
82,blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,10,1,0.82,0.06,74.8,39.56,45.74,74.8,72,182,2.29,3,6.87
83,blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,44,4,0.83,0.08,37.66,30.07,27.09,37.66,172,572,2.04,4,6.52
84,blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,52,33,0.22,0.08,21.42,36.67,23.24,21.42,370,1009,2.21,8,6.77
85,blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,62,15,0.61,0.08,31.6,34.68,26.51,31.6,352,1015,2.13,5,6.62
86,blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,43,32,0.15,0.11,38.61,30.29,27.56,38.61,212,700,2.1,5,6.61
87,blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,22,44,-0.33,0.06,50.05,39.18,35.69,50.05,418,1067,2.28,3,6.89
88,blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,24,42,-0.27,0.1,38.94,33.91,29.14,38.94,215,634,2.21,4,6.75
89,blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,47,47,0.0,0.13,23.16,33.83,22.8,23.16,249,736,2.18,38,6.7
90,blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,35,28,0.11,0.09,44.52,36.86,32.55,44.52,258,700,2.26,14,6.77
91,blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,23,37,-0.23,0.08,58.92,33.03,36.78,58.92,256,775,2.14,3,6.67
92,blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,11,3,0.57,0.07,60.14,36.41,38.62,60.14,75,206,2.21,3,6.72
93,blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,39,49,-0.11,0.12,31.08,31.79,25.15,31.08,234,736,2.1,15,6.59
94,blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,18,25,-0.16,0.09,51.61,34.34,34.38,51.61,159,463,2.13,6,6.63
95,blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,35,57,-0.24,0.12,30.91,39.78,28.28,30.91,294,739,2.31,3,7.02
96,blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,37,35,0.03,0.12,52.3,34.03,34.53,52.3,213,626,2.13,8,6.58
97,blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,6,0,1.0,0.03,94.0,41.26,54.1,94.0,85,206,2.33,1,6.95
98,blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,28,3,0.81,0.08,40.75,29.8,28.22,40.75,121,406,2.09,3,6.45
99,blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,39,55,-0.17,0.16,62.4,37.1,39.8,62.4,223,601,2.27,4,6.93
